ID_POSTCODE;POSTCODE;ID_LCG;VERSION;DATE_FROM;DATE_TO
129;BT41 3TF;3;1;2018-11-05;2018-11-05
130;BT41 3AE;3;1;2018-11-05;2018-11-05
131;BT36 4PP;3;1;2018-11-05;2018-11-05
132;BT36 5EQ;3;1;2018-11-05;2018-11-05
133;BT51 3HP;3;1;2018-11-05;2018-11-05
134;BT53 6HB;3;1;2018-11-05;2018-11-05
135;BT52 1JX;3;1;2018-11-05;2018-11-05
136;BT53 8TY;3;1;2018-11-05;2018-11-05
137;BT57 8QP;3;1;2018-11-05;2018-11-05
138;BT56 8DW;3;1;2018-11-05;2018-11-05
139;BT51 5AE;3;1;2018-11-05;2018-11-05
140;BT55 7EF;3;1;2018-11-05;2018-11-05
141;BT51 5QP;3;1;2018-11-05;2018-11-05
142;BT52 1JB;3;1;2018-11-05;2018-11-05
143;BT44 0TE;3;1;2018-11-05;2018-11-05
144;BT51 4TW;3;1;2018-11-05;2018-11-05
145;BT44 8QB;3;1;2018-11-05;2018-11-05
146;BT53 6HH;3;1;2018-11-05;2018-11-05
147;BT44 9LF;3;1;2018-11-05;2018-11-05
148;BT54 6BA;3;1;2018-11-05;2018-11-05
149;BT55 7SW;3;1;2018-11-05;2018-11-05
150;BT38 9TG;3;1;2018-11-05;2018-11-05
151;BT38 8TP;3;1;2018-11-05;2018-11-05
152;BT38 7HT;3;1;2018-11-05;2018-11-05
153;BT40 1XH;3;1;2018-11-05;2018-11-05
154;BT40 1PB;3;1;2018-11-05;2018-11-05
155;BT43 6JD;3;1;2018-11-05;2018-11-05
156;BT43 5AF;3;1;2018-11-05;2018-11-05
157;BT80 8BN;3;1;2018-11-05;2018-11-05
158;BT45 7AG;3;1;2018-11-05;2018-11-05
159;BT80 0DP;3;1;2018-11-05;2018-11-05
160;BT45 5DD;3;1;2018-11-05;2018-11-05
161;BT80 8BH;3;1;2018-11-05;2018-11-05
162;BT71 5HY;3;1;2018-11-05;2018-11-05
163;BT46 5EA;3;1;2018-11-05;2018-11-05
164;BT45 6ED;3;1;2018-11-05;2018-11-05
165;BT80 8PE;3;1;2018-11-05;2018-11-05
