ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
24978;490;151;99514;58;1;13;2;3;114,0;103,71
24980;499;151;153761;58;1;13;3;6;228,0;204,95
;505;152;3243;32;1;13;1;56;3,28;2,96
6459;512;155;28129;87;1;13;2;8;28,4;28,4
6461;516;155;50394;87;1;13;2;8;51,72;51,72
6462;523;155;31340;87;1;13;3;16;31,68;31,68
;532;159;19392;73;1;13;1;30;19,54;17,37
8887;543;167;11474;245;1;13;1;60;11,56;10,28
8886;541;168;39070;245;1;13;1;60;39,68;35,28
6492;556;173;5180;179;1;13;1;56;5,23;4,78
;131;176;8594;2;1;13;1;600;8,66;7,81
20784;131;176;1920;2;1;13;1;500;1,95;1,73
;581;188;2269;41;1;13;1;56;2,3;2,04
;584;188;13106;41;1;13;2;140;13,2;11,73
;585;188;7775;41;1;13;4;224;7,84;7,06
25144;605;192;7735;90;1;13;1;84;7,8;7,05
25141;606;192;10136;90;1;13;1;224;10,21;9,08
;609;192;7468;90;1;13;1;84;7,53;6,69
;610;193;85075;131;1;13;1;56;93,36;83,0
;614;194;19511;66;1;13;2;252;19,66;17,71
10889;616;195;2767;216;1;13;1;10;2,8;2,53
26359;616;195;17365;216;1;13;4;110;17,49;15,72
;5964;202;5290;239;1;13;1;500;5,34;4,83
;653;205;3889;101;1;13;2;84;3,93;3,49
;682;214;4971;62;1;13;6;198;5,02;4,49
;683;214;526;62;1;13;1;70;0,54;0,48
;696;221;1500;207;1;13;1;10;1,52;1,52
;699;221;9011;207;1;13;4;16;9,08;8,1
6881;699;221;1065;207;1;13;1;4;1,08;0,97
8160;719;223;2409;232;1;13;1;300;2,44;2,2
;741;231;4941;62;1;13;4;184;4,99;4,51
;742;232;10604;75;1;13;2;168;10,68;9,65
25654;782;247;12599;24;1;13;3;90;12,69;11,28
;797;252;1230;111;1;13;1;14;1,25;1,13
;799;254;7636;80;1;13;5;280;7,7;6,88
;800;254;15281;80;1;13;10;532;15,39;13,87
;811;257;2179;104;1;13;1;14;2,21;1,99
8677;824;263;5330;242;1;13;2;60;5,38;4,82
8680;825;263;2657;242;1;13;1;30;2,69;2,43
;832;265;1833;242;1;13;1;30;1,86;1,69
;846;271;2687;89;1;13;1;60;2,72;2,46
;848;272;43080;50;1;13;16;924;43,89;39,3
;850;274;1105;257;1;13;1;20;1,12;1,02
6550;850;274;5589;257;1;13;2;70;5,64;5,04
6553;851;274;2269;257;1;13;1;20;2,3;2,08
;856;274;13285;147;1;13;2;60;13,38;11,89
;871;279;2100;100;1;13;2;24;2,13;1,88
;873;279;3419;100;1;13;1;200;3,46;3,11
