ID_BNF;PARAGRAPH;SECTION;CHAPTER;VERSION;DATE_FROM;DATE_TO
205;1;3;10;1;2018-11-07;2018-11-07
206;2;3;10;1;2018-11-07;2018-11-07
207;1;3;11;1;2018-11-07;2018-11-07
208;3;3;11;1;2018-11-07;2018-11-07
209;1;4;11;1;2018-11-07;2018-11-07
210;2;4;11;1;2018-11-07;2018-11-07
211;0;5;11;1;2018-11-07;2018-11-07
212;0;6;11;1;2018-11-07;2018-11-07
213;99;6;11;1;2018-11-07;2018-11-07
214;0;7;11;1;2018-11-07;2018-11-07
215;0;8;11;1;2018-11-07;2018-11-07
216;1;8;11;1;2018-11-07;2018-11-07
217;2;8;11;1;2018-11-07;2018-11-07
218;3;8;11;1;2018-11-07;2018-11-07
219;0;9;11;1;2018-11-07;2018-11-07
220;0;1;12;1;2018-11-07;2018-11-07
221;1;1;12;1;2018-11-07;2018-11-07
222;2;1;12;1;2018-11-07;2018-11-07
223;3;1;12;1;2018-11-07;2018-11-07
224;0;2;12;1;2018-11-07;2018-11-07
225;1;2;12;1;2018-11-07;2018-11-07
226;2;2;12;1;2018-11-07;2018-11-07
227;3;2;12;1;2018-11-07;2018-11-07
228;0;3;12;1;2018-11-07;2018-11-07
229;1;3;12;1;2018-11-07;2018-11-07
230;2;3;12;1;2018-11-07;2018-11-07
231;3;3;12;1;2018-11-07;2018-11-07
232;4;3;12;1;2018-11-07;2018-11-07
233;5;3;12;1;2018-11-07;2018-11-07
234;0;1;13;1;2018-11-07;2018-11-07
235;1;1;13;1;2018-11-07;2018-11-07
236;99;1;13;1;2018-11-07;2018-11-07
237;0;2;13;1;2018-11-07;2018-11-07
238;1;2;13;1;2018-11-07;2018-11-07
239;2;2;13;1;2018-11-07;2018-11-07
240;3;2;13;1;2018-11-07;2018-11-07
241;0;3;13;1;2018-11-07;2018-11-07
242;0;4;13;1;2018-11-07;2018-11-07
243;0;5;13;1;2018-11-07;2018-11-07
244;1;5;13;1;2018-11-07;2018-11-07
245;2;5;13;1;2018-11-07;2018-11-07
246;3;5;13;1;2018-11-07;2018-11-07
247;0;6;13;1;2018-11-07;2018-11-07
248;1;6;13;1;2018-11-07;2018-11-07
